AREA_CD,AREA_NM,AREA_CONGEST_LVL,AREA_CONGEST_MSG,AREA_PPLTN_MAX,PPLTN_TIME,ROAD_TRAFFIC_IDX,ROAD_MSG,SUB_STN_NM,TEMP,PRECPT_TYPE,PCP_MSG,PM25,PM10,AREA_CONGEST_INT,ROAD_TRAFFIC_INT,SUB_STN_INT,RTE_COUNT,SEARCH_FOR_NM,LAT,LNG
POI081,청량리 제기동 일대 전통시장,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9500,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"청량리, 제기동",14,비,비 또는 눈 소식이 없어요.,8,19,1,2,2.0,57.0,청량리 제기동 일대 전통시장,37.5837593,127.0372351
POI082,해방촌·경리단길,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4000,2023-11-08 18:35,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,,13,비,비 또는 눈 소식이 없어요.,12,21,1,1,,9.0,해방촌오거리,37.5457875,126.9853027
POI083,DDP(동대문디자인플라자),약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,5500,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,동대문역사문화공원,13,비,비 또는 눈 소식이 없어요.,8,17,3,2,1.0,19.0,(동대문디자인플라자),37.5665256,127.0092236
POI084,DMC(디지털미디어시티),보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,24000,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"디지털미디어시티, 수색",13,비,비 또는 눈 소식이 없어요.,9,24,2,2,2.0,37.0,(디지털미디어시티),37.5777446,126.8921565
POI085,강서한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,100,2023-11-08 18:35,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,,12,비,비 또는 눈 소식이 없어요.,8,22,1,1,,19.0,강서한강공원,37.5880848,126.8152348
POI086,고척돔,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,700,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,구일,14,비,비 또는 눈 소식이 없어요.,10,19,1,2,1.0,20.0,고척돔,37.498182,126.8670082
POI087,광나루한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4500,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,,14,비,비 또는 눈 소식이 없어요.,1,16,1,2,,0.0,광나루한강공원,37.5487859,127.1200384
POI088,광화문광장,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,5500,2023-11-08 18:35,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,"경복궁, 광화문",13,비,비 또는 눈 소식이 없어요.,8,17,2,3,2.0,57.0,광화문광장,37.572389,126.9769117
POI089,국립중앙박물관·용산가족공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,900,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"서빙고, 이촌",13,비,비 또는 눈 소식이 없어요.,12,21,1,2,2.0,2.0,국립중앙박물관·용산가족공원,37.5238506,126.9804702
POI090,난지한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2023-11-08 18:35,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,,13,비,비 또는 눈 소식이 없어요.,8,22,1,1,,10.0,난지한강공원,37.5660148,126.8765181
POI091,남산공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,16000,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"동대입구, 명동, 한강진, 충무로",13,비,비 또는 눈 소식이 없어요.,6,11,1,2,4.0,26.0,남산공원,37.5509895,126.9908991
POI092,노들섬,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,900,2023-11-08 18:35,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,,13,비,비 또는 눈 소식이 없어요.,12,21,1,3,,15.0,노들섬,37.5177627,126.9596671
POI093,뚝섬한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4000,2023-11-08 18:35,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,뚝섬유원지,14,비,비 또는 눈 소식이 없어요.,6,18,1,1,1.0,1.0,뚝섬한강공원,37.52935069999999,127.0699562
POI094,망원한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,합정,13,비,비 또는 눈 소식이 없어요.,9,24,1,2,1.0,45.0,망원한강공원,37.5553605,126.8949135
POI095,반포한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3500,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,,13,비,비 또는 눈 소식이 없어요.,0,0,1,2,,16.0,반포한강공원,37.5106226,126.9959627
POI096,북서울꿈의숲,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3500,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,,13,비,비 또는 눈 소식이 없어요.,5,12,1,2,,19.0,북서울꿈의숲,37.6214313,127.0406246
POI097,불광천,약간 붐빔,,20000,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"디지털미디어시티, 증산(명지대앞), 새절(신사), 응암순환(상선)",13,비,비 또는 눈 소식이 없어요.,6,23,3,2,4.0,40.0,대한민국 서울특별시 은평구 은평로,37.599557,126.9230282
POI098,서리풀공원·몽마르뜨공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4500,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"고속터미널, 방배",13,비,비 또는 눈 소식이 없어요.,0,0,1,2,2.0,40.0,서리풀공원·몽마르뜨공원,37.49509949999999,127.0035246
POI099,서울광장,약간 붐빔,,3500,2023-11-08 18:35,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,시청,13,비,비 또는 눈 소식이 없어요.,6,11,3,3,1.0,18.0,서울광장,37.5655675,126.978014
POI100,서울대공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,2023-11-08 18:35,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,대공원,14,비,비 또는 눈 소식이 없어요.,0,0,1,1,1.0,0.0,서울대공원,37.4275247,127.0170252
POI101,서울숲공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,7000,2023-11-08 18:35,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,서울숲,14,비,비 또는 눈 소식이 없어요.,11,25,1,1,1.0,11.0,서울숲공원,37.5443878,127.0374424
POI102,아차산,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4000,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,,14,비,비 또는 눈 소식이 없어요.,6,18,1,2,,1.0,아차산,37.5715087,127.1037627
POI103,양화한강공원,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,2500,2023-11-08 18:35,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,,13,비,비 또는 눈 소식이 없어요.,15,20,2,1,,25.0,양화한강공원,37.5383005,126.902265
POI104,어린이대공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5000,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"아차산(어린이대공원후문), 어린이대공원(세종대)",14,비,비 또는 눈 소식이 없어요.,6,18,1,2,2.0,31.0,어린이대공원,37.549363,127.0818126
POI105,여의도한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5500,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,여의나루,13,비,비 또는 눈 소식이 없어요.,9,24,1,2,1.0,13.0,여의도한강공원,37.5284304,126.9330781
POI106,월드컵공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,7500,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"디지털미디어시티, 월드컵경기장(성산)",13,비,비 또는 눈 소식이 없어요.,9,24,1,2,2.0,35.0,월드컵공원,37.5638735,126.8935007
POI107,응봉산,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3000,2023-11-08 18:35,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,응봉,14,비,비 또는 눈 소식이 없어요.,11,25,1,1,1.0,10.0,응봉산,37.5481769,127.0298261
POI108,이촌한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4000,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,,13,비,비 또는 눈 소식이 없어요.,12,21,1,2,,3.0,이촌한강공원,37.5169202,126.9717022
POI109,잠실종합운동장,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,20000,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,종합운동장,14,비,비 또는 눈 소식이 없어요.,13,23,3,2,1.0,31.0,잠실종합운동장,37.5153013,127.0728076
POI110,잠실한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3500,2023-11-08 18:35,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,잠실나루,14,비,비 또는 눈 소식이 없어요.,13,23,1,1,1.0,7.0,잠실한강공원,37.5175896,127.0867236
POI111,잠원한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,,14,비,비 또는 눈 소식이 없어요.,9,20,1,2,,20.0,잠원한강공원,37.5273937,127.0190874
POI112,청계산,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5000,2023-11-08 18:35,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,,14,비,비 또는 눈 소식이 없어요.,0,0,1,1,,2.0,청계산,37.4141657,127.0415787
POI113,청와대,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,100,2023-11-08 18:35,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,,13,비,비 또는 눈 소식이 없어요.,8,17,1,2,,4.0,청와대,37.5866076,126.974811
